Smith,Christopher,1953-03-04,M,NJ,4,Republican,https://chrissmith.house.gov,RepChrisSmith,RepChrisSmith,UCtCNUDo3-I1gsd_03ppDfZg
Speier,Jackie,1950-05-14,F,CA,14,Democrat,https://speier.house.gov,RepSpeier,JackieSpeier,UCevmyTb0HSO8irVaR2gYyoA
Stivers,Steve,1965-03-24,M,OH,15,Republican,https://stivers.house.gov,RepSteveStivers,116058275133542,UCfZrE20pIcR-LeFUV7r2Ixw
Sánchez,Linda,1969-01-28,F,CA,38,Democrat,https://lindasanchez.house.gov,RepLindaSanchez,CongresswomanLindaSanchez,UCu1K6uHxjMgj2mvzM7O9-ow
Thompson,Bennie,1948-01-28,M,MS,2,Democrat,https://benniethompson.house.gov,BennieGThompson,CongressmanBennieGThompson,UCzt2pBxh0dI24kYrWretXRw
Thompson,Mike,1951-01-24,M,CA,5,Democrat,https://mikethompson.house.gov,RepThompson,RepMikeThompson,UC6pGbtqHZYZmScFGSz5bbdg
Thompson,Glenn,1959-07-27,M,PA,15,Republican,https://thompson.house.gov,CongressmanGT,CongressmanGT,UCNWX7lbWWvnNdzVMFI9DRiQ
Thornberry,Mac,1958-07-15,M,TX,13,Republican,https://thornberry.house.gov,MacTXPress,repmacthornberry,UCIfCqubtIZnQDwDS8YNmL2A
Tipton,Scott,1956-11-09,M,CO,3,Republican,https://tipton.house.gov,RepTipton,CongressmanScottTipton,UCh9ssh1dvzpr1HOWaFm8rcg
Tonko,Paul,1949-06-18,M,NY,20,Democrat,https://tonko.house.gov,RepPaulTonko,reppaultonko,UC3P2SGFmmuCYRsjeso0hOQQ
Turner,Michael,1960-01-11,M,OH,10,Republican,https://turner.house.gov,RepMikeTurner,RepMikeTurner,UC-6Ss-aZ3OPisf9GdVGtN8g
Upton,Fred,1953-04-23,M,MI,6,Republican,https://upton.house.gov,RepFredUpton,RepFredUpton,UCsN16IzEo4ViZNEMgeCrQ7w
Velázquez,Nydia,1953-03-28,F,NY,7,Democrat,https://velazquez.house.gov,NydiaVelazquez,8037068318,UCqMKPkKeeHFOOiZ9vxhXGVg
Visclosky,Peter,1949-08-13,M,IN,1,Democrat,https://visclosky.house.gov,RepVisclosky,repvisclosky,UC9njNo6tTComo9Kn7imz7Mg
Walberg,Tim,1951-04-12,M,MI,7,Republican,https://walberg.house.gov,RepWalberg,RepWalberg,UChpf3_3Wn8f3qSJbsYXrhvg
Walden,Greg,1957-01-10,M,OR,2,Republican,https://walden.house.gov,RepGregWalden,repgregwalden,UCyaDp6ANSM9tvW7Y3LT_4KQ
Wasserman Schultz,Debbie,1966-09-27,F,FL,23,Democrat,https://wassermanschultz.house.gov,RepDWStweets,RepDWS,UCfHQiJVvMlYbVAxrMSLdO4w
Waters,Maxine,1938-08-15,F,CA,43,Democrat,https://waters.house.gov,RepMaxineWaters,MaxineWaters,UCOQ2js1VYFlo74n7Ns8WsLQ
Webster,Daniel,1949-04-27,M,FL,11,Republican,https://webster.house.gov,RepWebster,RepWebster,UCCoX4VdU7U11eGEA0lbRtLw
Welch,Peter,1947-05-02,M,VT,0,Democrat,https://welch.house.gov,PeterWelch,PeterWelch,UC0YfApJx6qNaAQ-ir93U8xA
